,introversion_mapped,exposure,level_of_comfort,Conservatism,gender_Male,marital_status_Single,region_Eastern,region_Nothern,region_Western
0,0,0.66666664,4.0,4.0,0,1,1,0,0
1,1,0.33333332,3.0,0.6666666666666666,1,1,0,0,0
2,2,0.0,4.0,4.0,1,1,0,0,0
3,2,0.0,3.333333333333333,1.0,0,1,0,0,0
4,1,0.0,3.6666666666666665,4.0,0,1,1,0,0
5,0,0.0,4.0,4.0,1,1,0,0,1
6,2,0.33333332,3.333333333333333,3.0,0,1,0,0,0
7,1,0.33333332,3.6666666666666665,2.0,1,1,0,0,0
8,1,0.0,4.0,3.0,0,1,0,0,0
9,1,0.66666664,3.6666666666666665,3.0,1,0,0,0,0
10,2,0.99999996,3.0,1.0,0,0,0,0,0
11,2,0.99999996,3.0,1.0,0,0,0,0,0
12,0,0.0,3.333333333333333,1.0,0,1,0,0,0
13,0,0.0,3.0,4.0,0,1,1,0,0
14,1,0.66666664,4.0,3.0,1,1,1,0,0
15,1,0.66666664,3.6666666666666665,3.0,1,1,0,0,1
16,2,0.0,3.6666666666666665,4.0,0,1,0,0,0
17,2,0.33333332,4.0,2.0,1,1,0,0,0
18,1,0.0,2.333333333333333,0.6666666666666666,1,1,0,0,1
19,0,0.66666664,4.0,4.0,0,1,0,0,1
20,0,0.66666664,4.0,4.0,1,1,0,0,0
21,2,0.66666664,3.0,3.0,1,1,0,0,0
22,0,0.66666664,4.0,3.0,0,0,0,0,0
23,2,0.66666664,4.0,2.0,1,1,0,0,0
24,1,0.66666664,4.0,3.0,1,1,0,0,0
25,0,0.66666664,3.6666666666666665,4.0,1,1,0,0,0
26,1,0.99999996,3.6666666666666665,3.0,0,1,0,0,0
27,0,0.99999996,4.0,3.0,1,1,0,0,0
28,0,0.66666664,4.0,3.0,1,1,1,0,0
29,2,0.66666664,3.6666666666666665,1.0,1,1,0,0,0
30,1,0.66666664,4.0,4.0,0,1,0,0,0
31,0,0.99999996,4.0,3.0,0,1,0,0,1
32,1,0.66666664,4.0,1.0,1,1,0,0,0
33,2,0.66666664,4.0,3.0,1,1,0,0,1
34,2,0.0,4.0,2.0,1,1,0,0,0
35,2,0.66666664,4.0,4.0,1,1,1,0,0
36,2,0.0,3.0,1.0,0,1,0,0,0
37,2,0.66666664,3.6666666666666665,4.0,0,1,0,0,1
38,2,0.33333332,2.6666666666666665,3.0,0,1,1,0,0
39,2,0.0,2.333333333333333,1.0,0,1,0,0,0
40,2,0.66666664,4.0,3.0,1,1,0,0,1
41,2,0.33333332,3.333333333333333,3.0,0,1,0,0,0
42,1,0.0,2.333333333333333,0.6666666666666666,1,1,0,0,1
43,1,0.66666664,4.0,1.0,1,1,1,0,0
44,2,0.0,3.6666666666666665,4.0,0,1,0,0,0
45,2,0.66666664,4.0,3.0,1,0,0,0,0
46,0,0.33333332,3.0,1.0,0,1,0,0,0
47,2,0.0,3.6666666666666665,1.0,1,1,0,0,0
48,1,0.66666664,3.6666666666666665,3.0,0,1,0,0,0
49,2,0.33333332,2.6666666666666665,1.0,1,1,0,0,1
50,2,0.0,3.6666666666666665,1.0,1,1,0,0,0
51,2,0.66666664,4.0,4.0,1,1,0,0,1
52,2,0.66666664,3.333333333333333,1.3333333333333333,1,1,0,0,1
53,1,0.66666664,3.6666666666666665,2.0,1,1,1,0,0
54,0,0.33333332,3.0,1.0,0,1,0,0,0
55,1,0.66666664,2.6666666666666665,4.0,0,1,0,0,0
56,2,0.66666664,4.0,4.0,1,1,0,0,1
57,2,0.66666664,4.0,3.0,1,1,0,0,1
58,0,0.0,3.0,4.0,0,1,1,0,0
59,2,0.0,3.333333333333333,3.0,1,1,0,0,1
60,0,0.66666664,3.0,3.0,1,1,0,0,0
61,1,0.0,4.0,0.6666666666666666,1,1,0,0,0
62,0,0.33333332,4.0,4.0,1,1,0,0,0
63,1,0.66666664,4.0,3.0,1,1,1,0,0
64,0,0.0,3.0,4.0,0,1,0,0,1
65,0,0.66666664,3.6666666666666665,4.0,0,1,0,0,0
66,2,0.66666664,4.0,3.0,1,1,0,0,0
67,0,0.0,2.333333333333333,1.0,0,1,0,0,0
68,0,0.0,2.333333333333333,1.0,0,1,0,0,0
69,2,0.99999996,4.0,3.0,1,1,0,0,1
70,2,0.0,3.0,0.6666666666666666,1,1,0,0,0
71,2,0.66666664,2.6666666666666665,3.0,1,1,1,0,0
72,0,0.66666664,3.0,4.0,0,1,0,0,0
73,2,0.99999996,4.0,4.0,1,1,0,1,0
74,0,0.0,3.0,4.0,0,1,0,0,1
75,0,0.66666664,3.6666666666666665,4.0,0,1,0,0,0
76,0,0.66666664,2.0,2.0,1,1,0,0,0
77,2,0.66666664,3.6666666666666665,4.0,0,1,0,0,1
78,2,0.0,4.0,4.0,1,1,0,0,0
79,2,0.0,1.3333333333333333,3.0,1,1,0,0,0
80,2,0.0,4.0,4.0,0,1,0,0,0
81,2,0.66666664,4.0,3.0,1,1,0,0,1
82,2,0.66666664,4.0,4.0,1,1,1,0,0
83,1,0.66666664,3.6666666666666665,3.0,1,1,1,0,0
84,2,0.66666664,3.6666666666666665,2.0,1,1,0,0,0
85,0,0.66666664,4.0,1.0,1,1,0,0,1
86,2,0.66666664,4.0,3.0,0,0,0,0,0
87,1,0.0,3.6666666666666665,1.0,0,1,0,0,0
88,2,0.66666664,2.6666666666666665,4.0,0,1,0,0,1
89,1,0.66666664,3.6666666666666665,0.3333333333333333,1,1,0,0,0
90,2,0.66666664,3.6666666666666665,4.0,1,1,0,0,0
91,2,0.66666664,4.0,4.0,1,1,0,0,0
92,2,0.0,4.0,2.0,1,1,0,0,0
93,2,0.66666664,4.0,3.0,1,1,0,0,1
94,1,0.66666664,4.0,2.0,1,1,0,0,0
95,0,0.0,3.6666666666666665,2.0,1,1,0,0,1
96,1,0.66666664,3.6666666666666665,3.0,1,1,0,0,0
97,2,0.99999996,3.333333333333333,4.0,1,1,1,0,0
98,2,0.99999996,4.0,4.0,0,1,0,0,0
99,0,0.0,3.6666666666666665,2.0,1,1,0,0,1
100,2,0.66666664,3.6666666666666665,2.0,1,1,0,0,0
101,0,0.0,3.6666666666666665,2.0,1,1,0,0,1
102,2,0.66666664,3.6666666666666665,4.0,1,1,0,0,0
103,2,0.0,1.3333333333333333,3.0,1,1,0,0,0
104,1,0.0,2.0,1.3333333333333333,0,0,1,0,0
105,0,0.0,1.0,0.3333333333333333,0,0,1,0,0
106,1,0.66666664,3.6666666666666665,3.0,1,1,1,0,0
107,1,0.66666664,4.0,1.0,1,1,0,0,0
108,1,0.66666664,3.6666666666666665,3.0,1,1,0,0,1
